Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
Cloud Computing with Java,Female,2021,2021-10-05,October,Section 30,2021-10-31,2021-11-15,2022-03-07,Training Completed,USA Worksource MD,AM,6354.47,Admitted,6354.47,Yes,"$125,000-$149,999",Cloud Support Specialist,MA,Vertex Consulting,,Course Completion certificate,Boston Career Center,2021,2021,112,41,1,1
Advance Entrepreneur Kit (Excel as an Entrepreneur)/MS Office with Salesforce Admin,Female,2024,2024-08-15,August,WIOA - NH,2024-08-26,2024-09-02,2024-12-09,Training Completed,Don't know,AM,6870.77,Done with training,6870.77,Yes,"$50,000-$74,999",Technical Support Specialist,NH,Evergreen Analytics,,"Course Certificate,Course Completion certificate",Manchester Career Center,2024,2024,98,18,1,1
Kubernetes with Cloud and Data Science,Female,2017,2017-01-22,February,WIOA - PA,2017-02-14,2017-02-20,2017-07-10,Training Completed,Phone call,ML,8555.54,Admitted,8555.54,,,,PA,,,Course Completion certificate,Philadelphia Career Center,2016,2017,140,29,1,0
OLD student,Male,2024,2024-05-21,June,WIOA - VA,2024-06-17,2024-07-01,2024-12-16,Training Completed,Masshire Website,CB,5815.44,In Training,5815.44,,,,VA,,,Course Completion certificate,Norfolk Career Center,2024,2024,168,41,1,0
Microsoft office with Website Design_USA,Female,2020,2020-11-19,November,WIOA - NY,2020-11-27,2020-12-07,2021-03-15,Training Completed,Email,TP,5280.32,Admitted,5280.32,Yes,"$75,000-$99,999",SQL Developer,NY,Northstar Technology,,Course Completion certificate,New York Career Center,2020,2020,98,18,1,1
Tableau with Digital Marketing,Male,2026,2026-01-09,January,WIOA - ME,2026-01-22,2026-02-02,2026-08-17,Training Completed,USA Worksource MD,CB,5169.41,Admitted,5169.41,Yes,"$100,000-$124,999",QA Tester,ME,Vertex Consulting,,Course Completion certificate,Portland Career Center,2025,2026,196,24,1,1
AWS Solution and DevOps,Female,2020,2020-05-17,June,Section 30,2020-06-02,2020-06-15,2020-09-21,Training Completed,Email,CB,6336.24,Admitted,6336.24,No,,,MA,,,Course Completion certificate,Medford Career Center,2019,2020,98,29,1,0
Data Science with Programming Tools,Female,2026,2026-06-18,July,Section 30,2026-07-02,2026-07-20,2026-09-28,Training Completed,Don't know,TP,4823.81,Admitted,4823.81,No,,,MA,,,Course Completion certificate,Boston Career Center,2026,2026,70,32,1,0
Python with AI,Male,2022,2022-02-18,March,WIOA - MA,2022-03-08,2022-04-04,2022-06-27,Training Completed,Maryland Joblink,RJ,6172.48,Done with training,6172.48,No,,,MA,,,Course Completion certificate,Worcester Career Center,2021,2021,84,45,1,0
Intro to IT with Microsoft,Female,2026,2026-07-08,August,MRC,2026-08-04,2026-08-17,2026-11-09,Training Completed,Don't know,CB,6798.58,Admitted,6798.58,No,,,MA,,,Course Completion certificate,Boston Career Center,2026,2026,84,40,1,0
AI with Azure,Female,2022,2022-11-23,December,WIOA - MA,2022-12-02,2022-12-05,2023-05-22,Training Completed,Masshire Website,CB,6077.79,Admitted,6077.79,Yes,"$50,000-$74,999",SQL Developer,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2022,2022,168,12,1,1
Salesforce Admin with Data Science,Female,2020,2020-01-04,January,WIOA - NY,2020-01-25,2020-02-17,2020-08-31,Training Completed,Masshire Website,AD,5594.1,Done with training,5594.1,Yes,"$100,000-$124,999",QA Tester,NY,Pioneer Digital,,Course Completion certificate,Albany Career Center,2019,2020,196,44,1,1
AWS Solution and DevOps,Male,2024,2024-08-17,September,VRRAP,2024-09-09,2024-10-07,2025-01-13,Dropped Out,VRRAP,AD,6336.24,Admitted,6336.24,Yes,"$75,000-$99,999",Business Analyst,MA,Harbor Systems,,Course Completion certificate,Veteran Affairs,2024,2024,98,51,0,1
Data Visualization (with Laptop),Male,2021,2021-06-06,June,WIOA - VA,2021-06-27,2021-07-05,2021-12-20,Training Completed,PA careerlink,ML,5790.39,Admitted,5790.39,No,,,VA,,,Course Completion certificate,Richmond Career Center,2021,2021,168,29,1,0
"Web, Mobile and Digital Marketing",Female,2019,2019-08-18,September,VRRAP,2019-09-07,2019-09-16,2019-12-09,Training Completed,Career Center Reference - Email,AD,5648.08,Admitted,5648.08,Yes,"$75,000-$99,999",Web Developer,VA,Pioneer Digital,,"cert 2,Course Completion certificate",Veteran Affairs,2019,2019,84,29,1,1
Test,Male,2021,2021-05-05,May,WIOA - NH,2021-05-27,2021-06-21,2021-09-13,Training Completed,Masshire Website,TP,5112.51,Done with training,5112.51,Yes,"$50,000-$74,999",Business Analyst,NH,Summit Cloud Services,,Course Completion certificate,Manchester Career Center,2020,2021,84,47,1,1
Data Science with Reporting Tools,Female,2025,2025-04-27,May,VRRAP,2025-05-22,2025-06-16,2025-09-08,Training Completed,Don't know,TP,5490.32,Admitted,5490.32,No,,,CA,,,Course Completion certificate,Veteran Affairs,2024,2025,84,50,1,0
Data Analysis with Microsoft,Male,2024,2023-11-29,December,WIOA - MA,2023-12-22,2024-01-15,2024-04-08,Dropped Out,Masshire Website,AD,6831.9,Done with training,6831.9,Yes,"$125,000-$149,999",Data Analyst,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2023,2023,84,47,0,1
Salesforce Admin and Developer,Female,2018,2018-04-06,April,WIOA - FL,2018-04-17,2018-05-07,2018-07-30,Training Completed,Maryland Joblink,AD,5622.38,Admitted,5622.38,Yes,"$125,000-$149,999",Data Analyst,FL,Harbor Systems,,Course Completion certificate,Miami Career Center,2017,2018,84,31,1,1
Data Science with Tableau,Male,2025,2024-12-25,January,WIOA - NH,2025-01-12,2025-02-03,2025-05-26,Training Completed,Masshire Website,JW,6340.49,Dropped Out,6340.49,Yes,"$50,000-$74,999",Technical Support Specialist,NH,Evergreen Analytics,,Course Completion certificate,Manchester Career Center,2024,2024,112,40,1,1
Data Science with AWS DevOps,Male,2020,2020-11-13,December,WIOA - MD,2020-12-04,2020-12-21,2021-03-15,Training Completed,Website,AM,9024.26,Dropped Out,9024.26,Yes,"$125,000-$149,999",QA Tester,MD,Vertex Consulting,,"cert 2,Course Completion certificate",Maryland Career Center,2020,2020,84,38,1,1
Intro to IT with Microsoft (with Laptop),Female,2017,2017-05-06,May,WIOA - VT,2017-05-16,2017-06-05,2017-08-28,Training Completed,Phone call,JW,5943.19,Admitted,5943.19,,,,VT,,,Course Completion certificate,Burlington Career Center,2016,2017,84,30,1,0
 Cybersecurity with Cloud Technologies,Female,2018,2017-12-29,January,WIOA - VA,2018-01-17,2018-02-05,2018-04-02,Training Completed,Career Center Reference - Phone,RJ,8012.87,Admitted,8012.87,No,,,VA,,,Course Completion certificate,Norfolk Career Center,2017,2017,56,38,1,0
Salesforce Essentials,Female,2017,2017-03-05,March,Section 30,2017-03-12,2017-03-20,2017-09-04,Training Completed,Career Center Reference - Email,JW,5205.3,Admitted,5205.3,Yes,"$125,000-$149,999",Software Developer,MA,Summit Cloud Services,,Course Completion certificate,Medford Career Center,2016,2017,168,15,1,1
Salesforce Admin with Agile,Female,2023,2023-05-07,May,VRRAP,2023-05-30,2023-06-05,2023-09-11,Training Completed,NJ Portal,AD,5544.57,Admitted,5544.57,Yes,"$75,000-$99,999",Data Analyst,GA,Evergreen Analytics,,Course Completion certificate,Veteran Affairs,2022,2023,98,29,1,1
Big Data and Python Developer,Female,2019,2019-02-10,March,WIOA - NH,2019-03-04,2019-03-18,2019-08-05,Training Completed,Career Center Reference - Email,JW,6247.46,Admitted,6247.46,Yes,"$100,000-$124,999",Cloud Support Specialist,NH,Evergreen Analytics,,Course Completion certificate,Nashua Career Center,2018,2019,140,36,1,1
Salesforce Admin with Agile,Female,2017,2017-06-24,July,VRRAP,2017-07-10,2017-07-17,2017-10-23,Training Completed,Don't know,JW,5544.57,Admitted,5544.57,Yes,"$75,000-$99,999",SQL Developer,MA,Harbor Systems,,Course Completion certificate,Veteran Affairs,2017,2017,98,23,1,1
Advance Software Developer,Male,2020,2020-03-15,March,VRRAP,2020-03-29,2020-04-06,2020-06-01,Training Completed,Phone call,AM,6664.99,No Response,6664.99,Yes,"$25,000-$49,999",Web Developer,VA,Blue River Solutions,,Course Completion certificate,Veteran Affairs,2019,2019,56,22,1,1
Web Development With AI,Female,2025,2025-04-09,April,WIOA - OH,2025-04-17,2025-05-05,2025-07-28,Training Completed,Masshire Website,AD,5148.88,Admitted,5148.88,Yes,"$50,000-$74,999",Business Analyst,OH,Vertex Consulting,,Course Completion certificate,Columbus Career Center,2024,2025,84,26,1,1
Salesforce Admin with Digital Marketing,Male,2022,2022-11-11,November,WIOA - MA,2022-11-24,2022-12-19,2023-03-27,Training Completed,Career Center Reference - Email,TP,4847.6,Admitted,4847.6,Yes,"$75,000-$99,999",Software Developer,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2022,2022,98,38,1,1
AI with Azure,Female,2021,2021-06-03,June,WIOA - PA,2021-06-14,2021-07-05,2021-12-20,Training Completed,Phone call,RJ,6077.79,Admitted,6077.79,No,,,PA,,,Course Completion certificate,Philadelphia Career Center,2021,2021,168,32,1,0
Salesforce Essentials,Male,2023,2023-12-02,December,WIOA - NJ,2023-12-10,2023-12-18,2024-06-03,Dropped Out,Career Center Reference - Email,CB,5205.3,Admitted,5205.3,,,,NJ,,,Course Completion certificate,Newark Career Center,2023,2023,168,16,0,0
Gen AI,Female,2017,2017-04-10,April,WIOA - MA,2017-04-24,2017-05-15,2017-09-04,Training Completed,PA careerlink,JW,6556.32,Done with training,6556.32,Yes,"$50,000-$74,999",Business Analyst,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2016,2017,112,35,1,1
Data Visualization (with Laptop),Male,2025,2025-06-07,June,Section 30,2025-06-14,2025-07-07,2025-12-22,Training Completed,Masshire Website,JW,5790.39,Admitted,5790.39,Yes,"$25,000-$49,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2025,2025,168,30,1,1
Linux with AWS Technologies_Packages,Female,2018,2018-04-21,May,WIOA - NY,2018-05-08,2018-05-21,2018-10-08,Training Completed,Masshire Website,AM,7499.66,Admitted,7499.66,No,,,NY,,,Completion Certificate,Albany Career Center,2017,2018,140,30,1,0
AWS and Kubernetes with Certification course,Female,2016,2016-09-20,October,Trade - MA,2016-10-08,2016-10-17,2017-01-09,Training Completed,Don't know,AM,6082.28,Admitted,6082.28,No,,,MA,,,Course Completion certificate,Worcester Career Center,2016,2016,84,27,1,0
Data Scientist,Male,2020,2020-03-03,March,WIOA - MA,2020-03-24,2020-04-20,2020-10-05,Training Completed,Phone call,RJ,6049.18,Dropped Out,6049.18,Yes,"$25,000-$49,999",Software Developer,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2019,2020,168,48,1,1
Cybersecurity,Male,2017,2017-02-04,February,WIOA - VT,2017-02-14,2017-03-06,2017-05-29,Training Completed,Masshire Website,ML,5304.53,Done with training,5304.53,Yes,"$25,000-$49,999",Cloud Support Specialist,VT,Vertex Consulting,,Course Completion certificate,Rutland Career Center,2016,2016,84,30,1,1
AWS Solution and DevOps,Male,2018,2018-03-13,April,WIOA - NY,2018-04-05,2018-04-16,2018-07-23,Training Completed,Don't know,JW,6336.24,Done with training,6336.24,Yes,"$100,000-$124,999",Technical Support Specialist,NY,Evergreen Analytics,,Completion Certificate,Albany Career Center,2017,2018,98,34,1,1
Data Analysis With Python and Tableau,Female,2024,2023-12-24,January,WIOA - MA,2024-01-02,2024-01-15,2024-04-22,Training Completed,Phone call,TP,5762.94,Admitted,5762.94,Yes,"$100,000-$124,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2023,2023,98,22,1,1
Salesforce Admin with Data Science,Female,2020,2020-08-06,August,WIOA - NJ,2020-08-28,2020-09-21,2021-04-05,Training Completed,Masshire Website,JW,5594.1,Admitted,5594.1,Yes,"$100,000-$124,999",QA Tester,NJ,Harbor Systems,,Course Completion certificate,Newark Career Center,2020,2020,196,46,1,1
AWS Solution and DevOps,Male,2016,2016-07-29,August,WIOA - MA,2016-08-07,2016-08-15,2016-11-21,Dropped Out,Phone call,ML,6336.24,Admitted,6336.24,Yes,"$125,000-$149,999",Data Analyst,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2016,2016,98,17,0,1
Web Development with AWS DevOps,Male,2023,2023-01-06,January,WIOA - MA,2023-01-25,2023-02-06,2023-05-01,Training Completed,Masshire Website,AM,5924.41,Dropped Out,5924.41,Yes,"$125,000-$149,999",Cloud Support Specialist,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2022,2022,84,31,1,1
Web Development With AI,Male,2023,2023-08-28,September,Section 30,2023-09-14,2023-10-02,2023-12-25,Training Completed,Tidio chat,JW,5148.88,In Training,5148.88,No,,,MA,,,Course Completion certificate,Medford Career Center,2023,2023,84,35,1,0
Python with AI,Female,2025,2025-08-16,August,WIOA - NJ,2025-08-25,2025-09-15,2025-12-08,Training Completed,Career Center Reference - Email,ML,6172.48,Admitted,6172.48,,,,NJ,,,Course Completion certificate,Newark Career Center,2025,2025,84,30,1,0
OLD 2022_Automation Testing with AWS DevOps,Female,2018,2018-01-25,February,WIOA - PA,2018-02-14,2018-02-19,2018-10-01,Training Completed,Masshire Website,RJ,7025.29,Admitted,7025.29,No,,,PA,,,Course Completion certificate,Philadelphia Career Center,2017,2018,224,25,1,0
AI with AWS,Male,2025,2025-03-04,March,Section 30,2025-03-11,2025-03-17,2025-07-07,Training Completed,Career Center Reference - Phone,AD,6039.47,Admitted,6039.47,Yes,"$100,000-$124,999",SQL Developer,MA,Summit Cloud Services,,Course Completion certificate,Medford Career Center,2024,2025,112,13,1,1
Salesforce Admin and Developer,Male,2023,2023-09-03,October,VRRAP,2023-10-01,2023-10-16,2024-01-08,Dropped Out,VRRAP,AD,5622.38,Admitted,5622.38,Yes,"$75,000-$99,999",Technical Support Specialist,FL,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2023,2023,84,43,0,1
CompTIA Core,Female,2022,2022-03-16,April,WIOA - MA,2022-04-10,2022-04-18,2022-07-25,Training Completed,Don't know,ML,6806.58,Admitted,6806.58,,,,MA,,,Course Completion certificate,Medford Career Center,2021,2022,98,33,1,0
"Web, Mobile and Digital Marketing",Male,2019,2019-02-25,March,VRRAP,2019-03-21,2019-04-15,2019-07-08,Training Completed,VRRAP,JW,5648.08,Admitted,5648.08,Yes,"$50,000-$74,999",QA Tester,MA,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2018,2019,84,49,1,1
Automation Quality Assurance - 2,Male,2021,2021-02-18,March,VRRAP,2021-03-03,2021-03-15,2021-07-05,Training Completed,Training,RJ,6373.12,Done with training,6373.12,Yes,"$125,000-$149,999",Software Developer,CA,Evergreen Analytics,,"cert 2,Course Completion certificate",Veteran Affairs,2020,2021,112,25,1,1
CompTIA Core,Female,2018,2018-07-06,July,VRRAP,2018-07-31,2018-08-20,2018-11-26,Training Completed,USA Worksource MD,ML,6806.58,Admitted,6806.58,Yes,"$25,000-$49,999",Cloud Support Specialist,NH,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2018,2018,98,45,1,1
CompTIA-Cybersecurity Specialist,Female,2023,2023-10-06,October,WIOA - NH,2023-10-30,2023-11-20,2024-02-12,Dropped Out,Masshire Website,AD,6644.76,Admitted,6644.76,,,,NH,,,Course Completion certificate,Nashua Career Center,2023,2023,84,45,0,0
Advance Software Developer,Male,2023,2023-08-15,August,WIOA - NY,2023-08-27,2023-09-18,2023-11-13,Training Completed,Don't know,RJ,6664.99,Admitted,6664.99,No,,,NY,,,Course Completion certificate,New York Career Center,2023,2023,56,34,1,0
Python full stack web developer with Selenium,Female,2018,2018-06-11,July,WIOA - MA,2018-07-02,2018-07-16,2018-11-05,Training Completed,Don't know,RJ,5992.06,Admitted,5992.06,,,,MA,,,Completion Certificate,Worcester Career Center,2018,2018,112,35,1,0
Data Science with AWS DevOps,Male,2019,2019-01-22,February,VRRAP,2019-02-12,2019-02-18,2019-05-13,Training Completed,Masshire Website,CB,9024.26,Admitted,9024.26,No,,,WA,,,Course Completion certificate,Veteran Affairs,2018,2018,84,27,1,0
Mobile Development with Angular Development,Male,2025,2025-08-13,September,WIOA - ME,2025-09-05,2025-09-15,2025-12-22,Training Completed,Website,RJ,9242.25,Admitted,9242.25,No,,,ME,,,Course Completion certificate,Augusta Career Center,2025,2025,98,33,1,0
AWS Solution and DevOps,Female,2021,2021-04-10,May,Section 30,2021-05-06,2021-05-17,2021-08-23,Training Completed,Maine Joblink,TP,6336.24,Admitted,6336.24,Yes,"$50,000-$74,999",SQL Developer,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2020,2021,98,37,1,1
CompTIA Core,Male,2022,2022-01-29,February,WIOA - VA,2022-02-15,2022-03-07,2022-06-13,Training Completed,Career Center Reference - Email,AM,6806.58,Admitted,6806.58,No,,,VA,,,Course Completion certificate,Norfolk Career Center,2021,2021,98,37,1,0
Programming with Cloud Computing Technologies,Female,2026,2026-03-14,March,WIOA - VA,2026-03-28,2026-04-20,2026-08-10,Training Completed,Phone call,JW,5967.69,Done with training,5967.69,Yes,"$75,000-$99,999",SQL Developer,VA,Evergreen Analytics,,"Course Certificate,Course Completion certificate",Richmond Career Center,2025,2026,112,37,1,1
Data Science with Reporting Tools,Female,2018,2018-08-07,August,WIOA - CT,2018-08-17,2018-08-20,2018-11-12,Training Completed,Masshire Website,CB,5490.32,Done with training,5490.32,Yes,"$50,000-$74,999",QA Tester,MA,Harbor Systems,,Course Completion certificate,New Haven Career Center,2018,2018,84,13,1,1
Python with AI,Male,2022,2022-11-05,November,WIOA - VT,2022-11-23,2022-12-05,2023-02-27,Training Completed,Phone call,ML,6172.48,Admitted,6172.48,Yes,"$25,000-$49,999",SQL Developer,VT,Vertex Consulting,,Completion Certificate,Rutland Career Center,2022,2022,84,30,1,1
CompTIA-IT Support Specialist,Male,2024,2024-05-01,May,VRRAP,2024-05-11,2024-06-03,2024-09-23,Training Completed,VRRAP,CB,5385.96,Admitted,5385.96,Yes,"$125,000-$149,999",Software Developer,MA,Pioneer Digital,,Course Completion certificate,Veteran Affairs,2023,2024,112,33,1,1
AI with Azure,Female,2019,2019-09-26,October,Section 30,2019-10-05,2019-10-21,2020-04-06,Training Completed,Phone call,CB,6077.79,Done with training,6077.79,Yes,"$125,000-$149,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2019,2019,168,25,1,1
AWS and Kubernetes with Certification course,Male,2019,2019-08-18,September,WIOA - VA,2019-09-15,2019-10-07,2019-12-30,Dropped Out,Email,JW,6082.28,Admitted,6082.28,Yes,"$125,000-$149,999",Business Analyst,VA,Vertex Consulting,,Course Completion certificate,Richmond Career Center,2019,2019,84,50,0,1
